"eventId","divisionId","teamName","id","rank","wins","losses","ties","wp","ap","sp","high_score","average_points","total_points"
51958,1,"18186A",,5,0,0,0,15,0,0,15,,
52160,1,"3322B",,9,0,0,0,70,0,0,70,,
52043,100,"66186C",,30,0,0,0,45,0,0,45,,
52044,1,"27115A",,15,0,0,0,62,0,0,62,,
52212,1,"5521A",,15,0,0,0,33,0,0,33,,
52235,1,"9086A",,6,0,0,0,98,0,0,98,,
52048,1,"8009S",,15,0,0,0,57,0,0,57,,
52049,1,"6664A",,8,0,0,0,47,0,0,47,,
52231,1,"7386A",,20,0,0,0,57,0,0,57,,
52232,1,"693E",,5,0,0,0,98,0,0,98,,
52266,1,"66063D",,20,0,0,0,51,0,0,51,,
52267,1,"98888H",,5,0,0,0,82,0,0,82,,
53119,1,"81698N",,7,0,0,0,79,0,0,79,,
53123,1,"58988N",,8,0,0,0,0,0,0,0,,
53448,1,"50326C",,8,0,0,0,53,0,0,53,,
53449,1,"82311G",,4,0,0,0,97,0,0,97,,
53647,1,"98990A",,25,0,0,0,55,0,0,55,,
53648,1,"98990H",,8,0,0,0,64,0,0,64,,
53373,1,"48500A",,35,0,0,0,62,0,0,62,,
53374,1,"7252A",,18,0,0,0,60,0,0,60,,
53279,1,"85659B",,15,0,0,0,44,0,0,44,,
53919,1,"91824A",,5,0,0,0,61,0,0,61,,
53669,1,"15159H",,4,0,0,0,74,0,0,74,,
53601,1,"98990B",,24,0,0,0,39,0,0,39,,
53602,1,"98990S",,10,0,0,0,96,0,0,96,,
53544,1,"18533B",,20,0,0,0,55,0,0,55,,
53544,2,"11012B",,20,0,0,0,58,0,0,58,,
53544,100,"9781B",,2,0,0,0,317,0,0,317,,
53546,1,"57521A",,15,0,0,0,0,0,0,0,,
54226,1,"52806D",,25,0,0,0,57,0,0,57,,
54348,1,"6864D",,20,0,0,0,54,0,0,54,,
54199,1,"85659A",,30,0,0,0,30,0,0,30,,
54200,1,"59268B",,10,0,0,0,44,0,0,44,,
54623,1,"62730B",,8,0,0,0,61,0,0,61,,
54623,2,"61099A",,8,0,0,0,62,0,0,62,,
54623,3,"96127A",,8,0,0,0,60,0,0,60,,
54623,4,"82632A",,8,0,0,0,49,0,0,49,,
54623,5,"75791A",,8,0,0,0,59,0,0,59,,
54623,100,"86864A",,5,0,0,0,109,0,0,109,,
54624,1,"20587A",,7,0,0,0,88,0,0,88,,
54343,1,"7342X",,10,0,0,0,73,0,0,73,,
54344,1,"88896K",,5,0,0,0,68,0,0,68,,
55018,1,"28731F",,8,0,0,0,30,0,0,30,,
54821,1,"69999B",,20,0,0,0,56,0,0,56,,
54824,1,"30523G",,5,0,0,0,55,0,0,55,,
54916,1,"34981A",,20,0,0,0,53,0,0,53,,
54916,2,"9738D",,20,0,0,0,38,0,0,38,,
54916,100,"98996K",,1,0,0,0,0,0,0,0,,
54916,101,"98996K",,2,0,0,0,128,0,0,128,,
54917,1,"166A",,15,0,0,0,93,0,0,93,,
54917,2,"57521A",,15,0,0,0,88,0,0,88,,
54917,100,"12580F",,2,0,0,0,160,0,0,160,,
55089,1,"70800B",,3,0,0,0,45,0,0,45,,
55010,1,"60666Z",,20,0,0,0,103,0,0,103,,
55014,1,"8666A",,20,0,0,0,94,0,0,94,,
51532,1,"49186D",,20,0,0,0,87,0,0,87,,
51749,1,"6116A",,20,0,0,0,88,0,0,88,,
51749,2,"31718B",,20,0,0,0,69,0,0,69,,
51749,100,"9781A",,2,0,0,0,160,0,0,160,,
55225,1,"51666K",,16,0,0,0,49,0,0,49,,
55227,1,"86025C",,12,0,0,0,111,0,0,111,,
53596,1,"86832F",,5,0,0,0,58,0,0,58,,
55145,1,"66186D",,4,0,0,0,109,0,0,109,,
55291,1,"9027F",,10,0,0,0,97,0,0,97,,
55271,1,"31051B",,20,0,0,0,87,0,0,87,,
55271,2,"81020C",,20,0,0,0,65,0,0,65,,
55271,100,"28113E",,2,0,0,0,161,0,0,161,,
55271,101,"28113E",,1,0,0,0,0,0,0,0,,
55271,102,"28113E",,1,0,0,0,0,0,0,0,,
55292,1,"9027B",,20,0,0,0,122,0,0,122,,